tcr,bin,accuracy,f1,precision,recall,cv_f1,num_mutations_in_bin,num_significant_features,penalty,C,solver
TRBV20-1_TRBJ1-5,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,79,l1,10,liblinear
TRBV20-1_TRBJ2-1,exactly_1,1.0,1.0,1.0,1.0,0.2222222222222222,1395069,29,l1,10,liblinear
TRBV20-1_TRBJ2-1,1_to_2,1.0,1.0,1.0,1.0,0.0,203659,212,l1,10,liblinear
TRBV20-1_TRBJ2-1,1_to_3,1.0,1.0,1.0,1.0,0.0,292877,24,l1,1,liblinear
TRBV20-1_TRBJ2-1,1_to_4,1.0,1.0,1.0,1.0,0.4444444444444444,355002,38,l1,1,liblinear
TRBV20-1_TRBJ2-1,1_to_5,1.0,1.0,1.0,1.0,0.8222222222222223,403774,17,l1,1,liblinear
TRBV20-1_TRBJ2-1,1_to_6,1.0,1.0,1.0,1.0,0.7555555555555555,444526,16,l1,1,liblinear
TRBV20-1_TRBJ2-1,1_to_7,1.0,1.0,1.0,1.0,0.7555555555555555,481320,19,l1,1,liblinear
TRBV20-1_TRBJ2-2,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,29,l1,10,liblinear
TRBV20-1_TRBJ2-2,1_to_2,1.0,1.0,1.0,1.0,0.0,203659,195,l1,10,liblinear
TRBV20-1_TRBJ2-2,1_to_3,1.0,1.0,1.0,1.0,0.0,292877,35,l1,1,liblinear
TRBV20-1_TRBJ2-2,1_to_4,1.0,1.0,1.0,1.0,0.0,355002,59,l1,1,liblinear
TRBV20-1_TRBJ2-2,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,16,l1,1,liblinear
TRBV20-1_TRBJ2-2,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,11,l1,1,liblinear
TRBV20-1_TRBJ2-2,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,15,l1,1,liblinear
TRBV20-1_TRBJ2-3,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,29,l1,10,liblinear
TRBV20-1_TRBJ2-3,1_to_2,1.0,1.0,1.0,1.0,0.0,203659,149,l1,10,liblinear
TRBV20-1_TRBJ2-3,1_to_3,1.0,1.0,1.0,1.0,0.0,292877,29,l1,1,liblinear
TRBV20-1_TRBJ2-3,1_to_4,1.0,1.0,1.0,1.0,0.0,355002,39,l1,1,liblinear
TRBV20-1_TRBJ2-3,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,19,l1,1,liblinear
TRBV20-1_TRBJ2-3,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,16,l1,1,liblinear
TRBV20-1_TRBJ2-3,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,19,l1,1,liblinear
TRBV20-1_TRBJ2-5,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,25,l1,10,liblinear
TRBV20-1_TRBJ2-5,1_to_2,1.0,1.0,1.0,1.0,0.25,203659,192,l1,10,liblinear
TRBV20-1_TRBJ2-5,1_to_3,1.0,1.0,1.0,1.0,0.4,292877,207,l1,10,liblinear
TRBV20-1_TRBJ2-5,1_to_4,1.0,1.0,1.0,1.0,0.0,355002,113,l1,10,liblinear
TRBV20-1_TRBJ2-5,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,128,l1,10,liblinear
TRBV20-1_TRBJ2-5,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,100,l1,10,liblinear
TRBV20-1_TRBJ2-5,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,11,l1,1,liblinear
TRBV20-1_TRBJ2-6,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,29,l1,10,liblinear
TRBV20-1_TRBJ2-6,1_to_2,1.0,1.0,1.0,1.0,0.0,203659,167,l1,10,liblinear
TRBV20-1_TRBJ2-6,1_to_3,1.0,1.0,1.0,1.0,0.0,292877,27,l1,1,liblinear
TRBV20-1_TRBJ2-6,1_to_4,1.0,1.0,1.0,1.0,0.0,355002,32,l1,1,liblinear
TRBV20-1_TRBJ2-6,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,16,l1,1,liblinear
TRBV20-1_TRBJ2-6,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,24,l1,1,liblinear
TRBV20-1_TRBJ2-6,1_to_7,1.0,1.0,1.0,1.0,0.0,481320,15,l1,1,liblinear
TRBV20-1_TRBJ2-7,exactly_1,1.0,1.0,1.0,1.0,0.0,1395069,29,l1,10,liblinear
TRBV20-1_TRBJ2-7,1_to_2,1.0,1.0,1.0,1.0,0.0,203659,194,l1,10,liblinear
TRBV20-1_TRBJ2-7,1_to_3,1.0,1.0,1.0,1.0,0.0,292877,39,l1,1,liblinear
TRBV20-1_TRBJ2-7,1_to_4,1.0,1.0,1.0,1.0,0.0,355002,58,l1,1,liblinear
TRBV20-1_TRBJ2-7,1_to_5,1.0,1.0,1.0,1.0,0.0,403774,15,l1,1,liblinear
TRBV20-1_TRBJ2-7,1_to_6,1.0,1.0,1.0,1.0,0.0,444526,13,l1,1,liblinear
