tcr_id,bin,accuracy,f1_score,precision,recall,p_value,coefficient,positive_class_count,negative_class_count
TCR_22,1_lt_x_le_7,0.875,0.9090909090909091,1.0,0.8333333333333334,1.0,-0.6297076214912949,481320,1425175
TCR_23,exactly_8,0.75,0.0,0.0,0.0,0.5714262049583143,0.0,30106,1876389
TCR_23,1_lt_x_le_2,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714262049583143,0.4381765193001825,203659,1702836
TCR_23,1_lt_x_le_3,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,292877,1613618
TCR_23,1_lt_x_le_4,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,355002,1551493
TCR_23,1_lt_x_le_5,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,403774,1502721
TCR_23,1_lt_x_le_6,0.375,0.0,0.0,0.0,0.5714262049583143,0.0,444526,1461969
TCR_23,1_lt_x_le_7,0.75,0.8571428571428571,0.75,1.0,0.5714262049583143,0.0,481320,1425175
TCR_24,exactly_8,0.75,0.0,0.0,0.0,0.5714262049583143,0.0,30106,1876389
TCR_24,1_lt_x_le_2,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714262049583143,0.4381765193001825,203659,1702836
TCR_24,1_lt_x_le_3,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,292877,1613618
TCR_24,1_lt_x_le_4,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,355002,1551493
TCR_24,1_lt_x_le_5,0.5,0.0,0.0,0.0,0.5714262049583143,0.0,403774,1502721
TCR_24,1_lt_x_le_6,0.375,0.0,0.0,0.0,0.5714262049583143,0.0,444526,1461969
TCR_24,1_lt_x_le_7,0.75,0.8571428571428571,0.75,1.0,0.5714262049583143,0.0,481320,1425175
TCR_25,exactly_8,0.375,0.28571428571428575,0.2,0.5,0.36218669708030793,-0.15767006108607023,30106,1876389
TCR_25,1_lt_x_le_2,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8281032884832438,0.19826764384928688,203659,1702836
TCR_25,1_lt_x_le_3,0.5,0.0,0.0,0.0,0.8281032884832438,7.409833500317526e-18,292877,1613618
TCR_25,1_lt_x_le_4,0.5,0.0,0.0,0.0,0.8281032884832438,7.409833500317526e-18,355002,1551493
TCR_25,1_lt_x_le_5,0.5,0.0,0.0,0.0,0.8281032884832438,7.409833500317526e-18,403774,1502721
TCR_25,1_lt_x_le_6,0.5,0.5,0.6666666666666666,0.4,0.3621866970803078,0.3582805386290027,444526,1461969
TCR_25,1_lt_x_le_7,0.375,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.3621866970803078,0.15767006108607026,481320,1425175
TCR_26,exactly_8,0.625,0.5714285714285715,0.4,1.0,0.9998545857957464,-0.6774096039393245,30106,1876389
TCR_26,1_lt_x_le_2,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.443494640145371,0.6903585567157504,203659,1702836
TCR_26,1_lt_x_le_3,0.625,0.5714285714285715,0.6666666666666666,0.5,0.443494640145371,0.3351746609128936,292877,1613618
TCR_26,1_lt_x_le_4,0.625,0.5714285714285715,0.6666666666666666,0.5,0.443494640145371,0.3351746609128936,355002,1551493
TCR_26,1_lt_x_le_5,0.625,0.5714285714285715,0.6666666666666666,0.5,0.443494640145371,0.3351746609128936,403774,1502721
TCR_26,1_lt_x_le_6,0.75,0.7499999999999999,1.0,0.6,0.999854594369747,0.8413569153773641,444526,1461969
TCR_26,1_lt_x_le_7,0.625,0.6666666666666666,1.0,0.5,0.999854594369747,0.6774096039393237,481320,1425175
TCR_27,exactly_8,0.625,0.5714285714285715,0.4,1.0,0.9999999955160095,-0.7260255954798267,30106,1876389
TCR_27,1_lt_x_le_2,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3483712044484427,0.8283534276761779,203659,1702836
TCR_27,1_lt_x_le_3,0.875,0.8571428571428571,1.0,0.75,0.05914129087156047,1.0535833572784192,292877,1613618
TCR_27,1_lt_x_le_4,0.875,0.8571428571428571,1.0,0.75,0.05914129087156047,1.0535833572784192,355002,1551493
TCR_27,1_lt_x_le_5,0.875,0.8571428571428571,1.0,0.75,0.05914129087156047,1.0535833572784192,403774,1502721
TCR_27,1_lt_x_le_6,0.75,0.7499999999999999,1.0,0.6,0.17365854782551257,0.856839033508393,444526,1461969
TCR_27,1_lt_x_le_7,0.625,0.6666666666666666,1.0,0.5,0.3296618791252534,0.7260255954798265,481320,1425175
TCR_28,exactly_8,0.25,0.4,0.25,1.0,0.4434946401453709,0.0,30106,1876389
TCR_28,1_lt_x_le_2,0.5,0.5,0.4,0.6666666666666666,0.4434946401453709,-0.023854761606007708,203659,1702836
TCR_28,1_lt_x_le_3,0.625,0.6666666666666665,0.6,0.75,0.4434946401453709,-0.33610797831726397,292877,1613618
TCR_28,1_lt_x_le_4,0.625,0.6666666666666665,0.6,0.75,0.4434946401453709,-0.33610797831726397,355002,1551493
TCR_28,1_lt_x_le_5,0.625,0.6666666666666665,0.6,0.75,0.4434946401453709,-0.33610797831726397,403774,1502721
TCR_28,1_lt_x_le_6,0.5,0.5,0.6666666666666666,0.4,0.443494640145371,0.023855179904242796,444526,1461969
TCR_28,1_lt_x_le_7,0.25,0.0,0.0,0.0,0.443494640145371,0.0,481320,1425175
TCR_29,exactly_8,0.75,0.0,0.0,0.0,0.42349215792149286,0.0,30106,1876389
TCR_29,1_lt_x_le_2,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.423492157921493,0.6892548326208049,203659,1702836
TCR_29,1_lt_x_le_3,0.625,0.5714285714285715,0.6666666666666666,0.5,0.423492157921493,0.424457956085487,292877,1613618
TCR_29,1_lt_x_le_4,0.625,0.5714285714285715,0.6666666666666666,0.5,0.423492157921493,0.424457956085487,355002,1551493
TCR_29,1_lt_x_le_5,0.625,0.5714285714285715,0.6666666666666666,0.5,0.423492157921493,0.424457956085487,403774,1502721
TCR_29,1_lt_x_le_6,0.5,0.5,0.6666666666666666,0.4,0.423492157921493,0.1998860712925635,444526,1461969
TCR_29,1_lt_x_le_7,0.75,0.8571428571428571,0.75,1.0,0.423492157921493,0.0,481320,1425175
TCR_30,exactly_8,0.875,0.8,0.6666666666666666,1.0,0.443494640145371,1.3450519158466048,30106,1876389
TCR_30,1_lt_x_le_2,0.5,0.5,0.4,0.6666666666666666,0.4434946401453709,-0.023843511593452153,203659,1702836
TCR_30,1_lt_x_le_3,0.625,0.6666666666666665,0.6,0.75,0.4434946401453709,-0.3360851006280238,292877,1613618
TCR_30,1_lt_x_le_4,0.625,0.6666666666666665,0.6,0.75,0.4434946401453709,-0.3360851006280238,355002,1551493
TCR_30,1_lt_x_le_5,0.625,0.6666666666666665,0.6,0.75,0.4434946401453709,-0.3360851006280238,403774,1502721
TCR_30,1_lt_x_le_6,0.75,0.8000000000000002,0.8,0.8,0.4434946401453709,-0.690154347793799,444526,1461969
TCR_30,1_lt_x_le_7,0.875,0.9090909090909091,1.0,0.8333333333333334,0.4434946401453709,-1.345051915846604,481320,1425175
TCR_31,exactly_8,0.625,0.5714285714285715,0.4,1.0,0.9992217702703093,-0.6608152469567312,30106,1876389
TCR_31,1_lt_x_le_2,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.423492157921493,0.6892415608470799,203659,1702836
TCR_31,1_lt_x_le_3,0.625,0.5714285714285715,0.6666666666666666,0.5,0.423492157921493,0.42440600393056743,292877,1613618
TCR_31,1_lt_x_le_4,0.625,0.5714285714285715,0.6666666666666666,0.5,0.423492157921493,0.42440600393056743,355002,1551493
TCR_31,1_lt_x_le_5,0.625,0.5714285714285715,0.6666666666666666,0.5,0.423492157921493,0.42440600393056743,403774,1502721
TCR_31,1_lt_x_le_6,0.75,0.7499999999999999,1.0,0.6,0.9992219488967713,0.7974758681360211,444526,1461969
TCR_31,1_lt_x_le_7,0.625,0.6666666666666666,1.0,0.5,0.9992219488967713,0.6608152469567302,481320,1425175
TCR_32,exactly_8,0.75,0.5,0.5,0.5,0.6497601663075314,0.401037676043572,30106,1876389
TCR_32,1_lt_x_le_2,0.625,0.0,0.0,0.0,0.6497601663075312,0.0,203659,1702836
TCR_32,1_lt_x_le_3,0.5,0.6,0.5,0.75,0.6497601663075312,-0.12389760079701054,292877,1613618
TCR_32,1_lt_x_le_4,0.5,0.6,0.5,0.75,0.6497601663075312,-0.12389760079701054,355002,1551493
TCR_32,1_lt_x_le_5,0.5,0.6,0.5,0.75,0.6497601663075312,-0.12389760079701054,403774,1502721
TCR_32,1_lt_x_le_6,0.625,0.7272727272727272,0.6666666666666666,0.8,0.6497601663075312,-0.24524702082401273,444526,1461969
