"Gene","Mutation_Type","Count"
"KIAA0319","Missense_Mutation",22
"LY75","Missense_Mutation",22
"MMP17","In_Frame_Del",1
"MMP17","In_Frame_Ins",9
"MMP17","Missense_Mutation",12
"MYO9B","Missense_Mutation",22
"OR2A14","In_Frame_Del",8
"OR2A14","Missense_Mutation",14
"OR6Q1","Frame_Shift_Del",6
"OR6Q1","Missense_Mutation",16
"OTOP3","Missense_Mutation",22
"PCM1","Missense_Mutation",22
"PODXL","Frame_Shift_Del",4
"PODXL","In_Frame_Del",5
"PODXL","Missense_Mutation",13
"PTPRN2","Missense_Mutation",22
"PUS3","Missense_Mutation",22
"RIN3","In_Frame_Del",8
"RIN3","Missense_Mutation",14
"RNF43","Missense_Mutation",22
"SH3TC1","Missense_Mutation",22
"SLC14A2","Missense_Mutation",22
"SLC22A14","Frame_Shift_Del",1
"SLC22A14","Missense_Mutation",21
"SLFN14","Missense_Mutation",22
"SPATA31A1","Missense_Mutation",22
"SYT8","Missense_Mutation",22
"THAP9","Missense_Mutation",22
"TRDN","Missense_Mutation",22
"TTC21A","Missense_Mutation",22
