"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples","MutationPercentage","MutationGroup"
"HPS4",0,0,0,0,38,0,0,0,0,38,8,8,100,"76-100%"
"KNL1",0,0,0,0,38,0,0,0,0,38,8,8,100,"76-100%"
"MCPH1",0,0,0,0,38,0,0,0,0,38,8,8,100,"76-100%"
"OR1L6",0,0,0,0,38,0,0,0,0,38,8,8,100,"76-100%"
"OR2W3",0,3,1,0,34,0,0,0,0,38,8,8,100,"76-100%"
"RESF1",0,0,0,0,38,0,0,0,0,38,8,8,100,"76-100%"
"AKAP3",2,2,0,1,32,0,0,0,0,37,8,8,100,"76-100%"
"CFAP46",0,0,0,0,37,0,0,0,0,37,8,8,100,"76-100%"
"EXD3",0,0,0,0,37,0,0,0,0,37,8,8,100,"76-100%"
"MUC20",4,0,1,0,32,0,0,0,0,37,8,8,100,"76-100%"
"NBPF8",4,0,0,0,27,6,0,0,0,37,8,8,100,"76-100%"
"OR8G2P",0,0,0,0,37,0,0,0,0,37,8,8,100,"76-100%"
"TOGARAM2",0,0,0,0,37,0,0,0,0,37,8,8,100,"76-100%"
"TSBP1",0,0,0,0,37,0,0,0,0,37,8,8,100,"76-100%"
"CLCNKB",0,0,0,0,36,0,0,0,0,36,8,8,100,"76-100%"
"CR1",0,0,0,0,36,0,0,0,0,36,8,8,100,"76-100%"
"CRYBG1",0,0,0,0,36,0,0,0,0,36,8,8,100,"76-100%"
"CYP4F12",0,0,0,0,35,0,0,1,0,36,8,8,100,"76-100%"
"GBP6",0,0,0,0,36,0,0,0,0,36,8,8,100,"76-100%"
"NUP210",0,0,0,0,36,0,0,0,0,36,8,8,100,"76-100%"
"OR1I1",0,0,0,0,36,0,0,0,0,36,8,8,100,"76-100%"
"OR6C1",0,5,0,0,31,0,0,0,0,36,8,8,100,"76-100%"
"PKHD1",0,0,0,0,36,0,0,0,0,36,8,8,100,"76-100%"
"SON",8,8,2,0,18,0,0,0,0,36,8,8,100,"76-100%"
"ADAMTS7",0,0,1,0,34,0,0,0,0,35,8,8,100,"76-100%"
"CHGB",0,0,0,0,35,0,0,0,0,35,8,8,100,"76-100%"
"LAMC3",0,0,0,0,35,0,0,0,0,35,8,8,100,"76-100%"
"LILRB3",0,0,0,0,35,0,0,0,0,35,8,8,100,"76-100%"
"MICAL2",0,0,0,5,30,0,0,0,0,35,8,8,100,"76-100%"
"MUC2",0,0,0,0,35,0,0,0,0,35,8,8,100,"76-100%"
"MYO3A",0,0,0,0,35,0,0,0,0,35,8,8,100,"76-100%"
"PRAG1",0,0,11,0,24,0,0,0,0,35,8,8,100,"76-100%"
"ZNF778",0,6,0,0,29,0,0,0,0,35,8,8,100,"76-100%"
"A2ML1",0,0,0,0,34,0,0,0,0,34,8,8,100,"76-100%"
"ALDH3B2",0,0,0,0,33,0,0,1,0,34,8,8,100,"76-100%"
"ANKRD24",0,0,0,0,34,0,0,0,0,34,8,8,100,"76-100%"
"C10orf71",0,0,0,0,34,0,0,0,0,34,8,8,100,"76-100%"
"ESPL1",0,0,0,0,34,0,0,0,0,34,8,8,100,"76-100%"
"FAT3",0,0,0,0,34,0,0,0,0,34,8,8,100,"76-100%"
"IQGAP2",0,0,0,0,34,0,0,0,0,34,8,8,100,"76-100%"
"LILRB1",0,0,0,0,34,0,0,0,0,34,8,8,100,"76-100%"
"NID2",0,0,0,0,34,0,0,0,0,34,8,8,100,"76-100%"
"OR13F1",0,0,0,0,34,0,0,0,0,34,8,8,100,"76-100%"
"PLXND1",0,0,0,0,34,0,0,0,0,34,8,8,100,"76-100%"
"RBMXL3",0,0,0,8,26,0,0,0,0,34,8,8,100,"76-100%"
"SETX",0,0,0,0,34,0,0,0,0,34,8,8,100,"76-100%"
"SLC6A18",0,0,0,1,28,5,0,0,0,34,8,8,100,"76-100%"
"SSC5D",0,0,0,2,32,0,0,0,0,34,8,8,100,"76-100%"
"ZZEF1",0,0,0,0,34,0,0,0,0,34,8,8,100,"76-100%"
"COL4A3",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
"DLC1",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
"EPB41L4A",0,0,0,0,30,0,0,3,0,33,8,8,100,"76-100%"
"ERAP1",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
"EXO1",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
"HAP1",0,0,0,0,32,1,0,0,0,33,8,8,100,"76-100%"
"MACF1",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
"MEGF6",0,0,0,0,32,0,0,1,0,33,8,8,100,"76-100%"
"MROH8",0,0,0,0,25,0,0,8,0,33,8,8,100,"76-100%"
"MSH3",0,0,10,1,22,0,0,0,0,33,8,8,100,"76-100%"
"MTNAP1",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
"OR11L1",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
"OR4X1",0,0,8,0,17,8,0,0,0,33,8,8,100,"76-100%"
"PLEKHG4B",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
"PRRC2B",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
"PSG4",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
"SIGLEC1",0,0,0,0,32,1,0,0,0,33,8,8,100,"76-100%"
"STAB1",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
"TNC",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
"TRMT9B",0,0,0,0,33,0,0,0,0,33,8,8,100,"76-100%"
